ID,split_text,starttime,endtime,employ,gender,age,birthyr,region,division,inputstate,race,educ,marstat,sexuality,child18,faminc_new,social_nets_mem__1,social_nets_mem__2,social_nets_mem__3,social_nets_mem__4,social_nets_mem__5,social_nets_mem__6,social_nets_mem__7,social_nets_mem__8,social_nets_mem__10,social_nets_mem__12,social_nets_mem__97,social_nets_mem__98,social_nets_mem__99,inputzipdma_recode,hholdsize,e14_presvote12,presvote16post,ideo5,votereg,faminc,pid7text,job,Q1_1,Q1_2,Q1_3,Q2,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,age_cross,family_income_r,faminc_new_r,race_w8,race_xbreak,educ_w8,age_gender,w_age_gender,w_demogs,w_age_gen_1,w_age_gen_2,w_age_gen_3,w_age_gen_4,w_age_gen_5,w_age_gen_6,w_age_gen_7,w_age_gen_8,duration,weight_political
731,in the year since Donald Trump became President?,2017-12-07 14:58:06,2017-12-07 15:05:29,7,2,64,1953,4,8,35,1,5,1,1,2,97,0,0,0,0,0,1,0,0,0,0,1,0,1,790,2,1,1,1,1, ,Would you call yourself a strong Democrat or a not very strong Democrat?, ,2,2,2,3,5,2,4,1,3,1,1,2,2,3,2,4,4,3,3,2,2,2,2,3,2,4,3, ,4,1,1,3,6,10,75, , , , , , ,3, ,7.38333333333333,.671613220480688
762,in the year since Donald Trump became President?,2017-12-07 15:00:09,2017-12-07 15:05:45,4,2,34,1983,1,2,42,3,2,5,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0, ,4,4,7,2,2, ,Would you call yourself a strong Democrat or a not very strong Democrat?, ,4,4,4,4,6,6,5,5,5,4,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1, ,1,3,3,1,4,7,69, , , , , ,9, , ,5.6,1.28471197682119
564,in the year since Donald Trump became President?,2017-12-07 14:58:24,2017-12-07 15:06:00,1,1,49,1968,1,2,42,2,6,5,1,2,10,1,0,0,1,0,0,0,0,0,0,0,0,0,508,1,4,6,5,1, ,Do you think of yourself as closer to the Democratic or the Republican Party?, ,3,2,1,1,1,1,2,1,1,2,2,1,2,1,1,2,2,1,1,1,2,2,1,2,2,1,2, ,3,2,2,4,2,4,32, , ,8, , , , , ,7.6,.330284510625804
785,in the last year?,2017-12-07 14:57:50,2017-12-07 15:06:04,5,2,69,1948,4,9,41,1,5,3,1,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,813,1,1,1,1,1, ,Would you call yourself a strong Democrat or a not very strong Democrat?, ,2,2,2,3,4,2,2,1,2,1,1,2,2,2,2,4,2,2,2,2,2,2,3,2,2,4,3, ,1,1,1,3,6,10,87, , , , , , , ,3,8.23333333333333,1.01122006081309
11,in the year since Donald Trump became President?,2017-12-07 14:59:15,2017-12-07 15:06:22,5,2,69,1948,1,2,42,1,5,1,1,2,13,1,0,0,0,0,0,0,0,0,0,0,0,0,566,2,2,2,3,1, ,Do you think of yourself as closer to the Democratic or the Republican Party?, ,3,1,3,1,6,2,3,3,3,3,1,5,5,5,4,2,3,5,3,5,2,5,5,5,4,3,3, ,3,1,1,3,6,10,87, , , , , , , ,3,7.11666666666667,1.12858243324944
329,since the end of the Obama Administration?,2017-12-07 14:57:39,2017-12-07 15:06:50,1,1,53,1964,1,2,42,1,2,1,1,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,504,3,2,2,3,1, ,Would you call yourself a strong Republican or a not very strong Republican?, ,2,2,2,1,3,3,3,2,2,2,1,3,2,2,2,3,2,1,2,2,2,3,3,2,2,1,2, ,3,1,1,1,2,4,25, , ,1, , , , , ,9.16666666666667,.861283331048086
245,in the year since Donald Trump became President?,2017-12-07 14:57:49,2017-12-07 15:07:02,7,2,46,1971,4,9,6,1,2,1,1,1,4,1,0,1,1,0,1,0,0,0,0,0,0,0,803,3,1,1,4,1, ,Would you call yourself a strong Democrat or a not very strong Democrat?, ,3,3,2,3,3,2,3,2,2,2,1,1,2,2,5,4,3,3,3,3,3,2,3,2,4,3,2, ,1,1,1,1,5,9,73, , , , , , ,1, ,9.21666666666667,.607154145532793
891,in the last year?,2017-12-07 14:59:34,2017-12-07 15:07:21,1,2,64,1953,2,3,18,1,2,1,1,2,97,0,0,0,0,0,0,0,0,0,0,0,0,1,509,2,2,2,5,1, ,Would you call yourself a strong Republican or a not very strong Republican?, ,2,3,3,1,5,2,5,2,2,5,2,2,4,4,4,2,5,3,3,5,3,5,3,3,4,3,3, ,4,1,1,1,6,10,73, , , , , , ,1, ,7.78333333333333,.677620559042231
1011,in the year since Donald Trump became President?,2017-12-07 15:01:49,2017-12-07 15:07:26,8,2,19,1998,2,3,39,1,3,5,4,2,6,0,1,0,1,0,1,1,1,1,0,0,0,0,535,6,4,1,1,1, ,Do you think of yourself as closer to the Democratic or the Republican Party?, ,4,2,2,3,4,2,3,2,3,3,1,2,4,4,2,4,3,2,3,2,2,2,3,3,2,4,1, ,2,1,1,2,4,6,50, , , , ,2, , , ,5.61666666666667,.690594984842251
32,since the end of the Obama Administration?,2017-12-07 15:02:21,2017-12-07 15:07:26,5,2,93,1924,3,5,11,1,6,4,1,2,9,1,0,1,0,0,0,0,0,0,0,0,0,0,511,1,1,1,2,1, ,Would you call yourself a strong Democrat or a not very strong Democrat?, ,2,2,2,3,5,2,2,1,2,1,1,1,3,1,2,3,2,2,2,2,2,2,3,2,2,3,3, ,3,1,1,4,6,10,88, , , , , , , ,4,5.08333333333333,1.01122006081309
832,in the year since Donald Trump became President?,2017-12-07 14:59:54,2017-12-07 15:07:44,1,2,27,1990,3,5,13,1,5,5,1,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,524,1,4,7,3,2, ,Do you think of yourself as closer to the Democratic or the Republican Party?, ,3,3,3,2,4,4,3,2,2,2,2,1,2,2,2,2,3,2,3,3,2,2,3,3,3,3,1, ,2,1,1,3,4,7,51, , , , ,3, , , ,7.83333333333333,2.04780745982333
1116,in the year since Donald Trump became President?,2017-12-07 14:57:30,2017-12-07 15:07:39,1,1,32,1985,3,7,22,1,3,1,1,2,6,1,0,0,1,0,0,0,1,0,0,0,0,0,622,2,4,2,4,1, ,Would you call yourself a strong Republican or a not very strong Republican?, ,2,2,1,1,4,4,3,3,4,4,1,4,3,2,4,2,3,3,4,3,2,4,3,3,4,2,1, ,2,1,1,2,1,2,14, ,2, , , , , , ,10.15,.536924062166104
584,in the last year?,2017-12-07 14:59:01,2017-12-07 15:07:47,1,2,63,1954,3,5,12,1,5,1,1,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,539,3,2,2,5,1, ,Would you call yourself a strong Republican or a not very strong Republican?, ,2,2,2,1,5,4,4,4,4,4,1,4,4,4,4,4,4,3,3,3,2,4,4,3,4,4,3, ,3,1,1,3,6,10,75, , , , , , ,3, ,8.75,.749560765203892
121,in the year since Donald Trump became President?,2017-12-07 14:59:43,2017-12-07 15:08:04,1,2,33,1984,3,5,13,2,5,5,1,2,1,1,1,1,1,0,1,0,1,0,0,0,0,0,522,1,4,7,3,1, ,Do you think of yourself as closer to the Democratic or the Republican Party?, ,2,3,4,3,3,3,3,3,3,2,2,2,3,3,4,4,3,3,3,3,3,2,2,2,3,3,1, ,1,2,2,3,4,7,67, , , , , ,7, , ,8.33333333333333,.770973291386815
567,in the last year?,2017-12-07 14:59:38,2017-12-07 15:08:08,1,1,61,1956,4,9,53,1,6,1,1,2,12,0,0,1,0,0,0,0,0,0,0,0,0,0,819,3,2,3,3,1, ,Do you think of yourself as closer to the Democratic or the Republican Party?, ,2,3,2,2,4,3,4,2,3,2,2,3,3,3,4,4,3,3,4,3,2,3,3,3,3,4,3, ,3,1,1,4,3,5,28, , ,4, , , , , ,8.5,.624192616047664
657,in the last year?,2017-12-07 14:55:57,2017-12-07 15:08:14,7,2,38,1979,4,9,6,7,4,1,1,1,6,1,1,1,1,0,1,0,1,0,0,0,0,0,803,5,1,4,3,1, ,Do you think of yourself as closer to the Democratic or the Republican Party?, ,2,2,2,3,5,3,2,3,3,2,2,2,4,4,4,4,3,3,3,2,3,3,4,4,3,3,2, ,2,1,4,2,5,8,62, , , , , ,2, , ,12.2833333333333,.261132131138752
483,in the year since Donald Trump became President?,2017-12-07 15:01:02,2017-12-07 15:08:11,4,2,38,1979,4,9,6,6,3,5,1,1,3,1,1,1,1,1,1,0,1,1,0,0,0,0,862,4,1,4,1,1, ,Would you call yourself a strong Democrat or a not very strong Democrat?, ,2,2,2,3,4,4,3,3,4,2,2,2,3,2,2,4,3,3,2,2,3,2,3,3,3,3,2, ,1,1,4,2,5,8,62, , , , , ,2, , ,7.15,.261132131138752
356,in the last year?,2017-12-07 15:01:19,2017-12-07 15:08:12,2,2,28,1989,3,7,48,2,6,5,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,618,1,4,7,6,2, ,Do you think of yourself as closer to the Democratic or the Republican Party?, ,3,3,3,4,6,1,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,2,5,5,5,5,1, ,1,2,2,4,4,7,56, , , , ,8, , , ,6.88333333333333,1.52169733098382
304,in the year since Donald Trump became President?,2017-12-07 14:57:55,2017-12-07 15:08:14,7,2,63,1954,3,5,13,1,2,1,1,2,97,1,0,0,0,0,0,0,0,0,0,0,0,0,524,3,2,2,4,1, ,Would you call yourself a strong Republican or a not very strong Republican?, ,2,2,2,1,4,3,3,4,3,5,1,3,3,2,4,1,3,4,4,4,2,3,3,3,4,2,3, ,4,1,1,1,6,10,73, , , , , , ,1, ,10.3,.677620559042231
206,in the last year?,2017-12-07 15:01:11,2017-12-07 15:08:24,9,2,64,1953,4,9,6,1,3,3,2,2,5,1,0,1,1,0,0,0,0,0,0,0,0,0,803,1,2,1,3,1, ,Would you call yourself a strong Republican or a not very strong Republican?, ,2,2,2,1,4,4,3,2,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3, ,2,1,1,2,6,10,74, , , , , , ,2, ,7.21666666666667,.863038682781499
519,in the last year?,2017-12-07 15:02:32,2017-12-07 15:08:31,5,2,66,1951,3,5,12,1,6,4,1,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0,539,2,1,2,1,1, ,Do you think of yourself as closer to the Democratic or the Republican Party?, ,2,2,2,1,3,2,1,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,3,2,2,3, ,3,1,1,4,6,10,88, , , , , , , ,4,5.98333333333333,.747492863561661
261,in the last year?,2017-12-07 14:58:52,2017-12-07 15:08:54,6,2,71,1946,3,6,21,1,2,5,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,541,1,2,2,4,1, ,Would you call yourself a strong Republican or a not very strong Republican?, ,2,2,4,1,4,4,3,4,4,4,2,4,3,3,4,2,4,4,4,4,3,4,4,4,4,4,3, ,1,1,1,1,6,10,85, , , , , , , ,1,10.0333333333333,1.02026506034597
389,since the end of the Obama Administration?,2017-12-07 14:58:01,2017-12-07 15:08:51,2,2,70,1947,2,3,26,1,6,5,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,505,1,1,1,1,1, ,Would you call yourself a strong Democrat or a not very strong Democrat?, ,2,2,2,3,4,2,2,2,2,2,1,1,2,2,2,4,3,2,2,2,1,1,3,2,2,3,3, ,1,1,1,4,6,10,88, , , , , , , ,4,10.8333333333333,1.01122006081309
611,since the end of the Obama Administration?,2017-12-07 15:04:04,2017-12-07 15:09:06,6,2,31,1986,3,5,12,3,1,5,1,2,1,1,1,0,1,0,0,0,1,1,0,0,0,0,539,5,4,7,4,2, ,Do you think of yourself as closer to the Democratic or the Republican Party?, ,2,3,2,3,1,5,3,3,4,3,3,4,3,3,3,3,3,3,5,3,2,2,4,4,4,4,1, ,1,3,3,1,4,7,69, , , , , ,9, , ,5.03333333333333,1.28471197682119
2,since the end of the Obama Administration?,2017-12-07 15:00:24,2017-12-07 15:09:17,5,1,68,1949,3,5,37,1,6,1,1,2,13,1,0,0,0,0,0,0,0,0,0,0,0,0,560,2,1,1,1,1, ,Would you call yourself a strong Democrat or a not very strong Democrat?, ,1,1,1,3,3,2,3,2,2,2,2,1,2,2,2,4,3,2,2,2,2,2,2,2,2,4,3, ,3,1,1,4,3,5,40, , , ,4, , , , ,8.88333333333333,.88373846712636
312,in the year since Donald Trump became President?,2017-12-07 14:58:47,2017-12-07 15:09:13,7,2,57,1960,2,3,39,1,2,1,1,2,11,1,1,0,1,1,1,0,0,1,0,0,0,0,535,2,4,2,4,1, ,Would you call yourself a strong Republican or a not very strong Republican?, ,2,2,2,4,3,4,3,3,3,2,2,4,3,3,4,2,5,5,3,5,2,3,3,3,4,2,3, ,3,1,1,1,6,10,73, , , , , , ,1, ,10.4333333333333,.482521863162412
316,since the end of the Obama Administration?,2017-12-07 14:58:25,2017-12-07 15:09:36,7,2,62,1955,2,3,55,1,2,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,658,2,2,2,4,1, ,Do you think of yourself as closer to the Democratic or the Republican Party?, ,2,3,2,1,4,4,5,3,4,4,2,5,4,3,4,2,5,3,3,4,5,4,4,4,4,3,3, ,1,1,1,1,6,10,73, , , , , , ,1, ,11.1833333333333,.677620559042231
275,in the year since Donald Trump became President?,2017-12-07 15:02:29,2017-12-07 15:10:07,5,2,71,1946,4,9,15,4,5,1,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,1,744,2,1,1,3,1, ,Would you call yourself a strong Democrat or a not very strong Democrat?, ,2,2,2,3,4,2,3,1,1,1,1,1,2,1,1,4,3,2,2,2,1,2,3,2,2,4,3, ,3,1,4,3,6,10,87, , , , , , , ,3,7.61666666666667,1.01122006081309
857,in the year since Donald Trump became President?,2017-12-07 15:01:56,2017-12-07 15:10:00,5,1,75,1942,1,2,42,1,2,1,1,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,577,2,4,7,4,1, ,Would you call yourself a strong Republican or a not very strong Republican?, ,2,2,1,2,4,2,3,3,4,2,1,2,3,4,4,3,3,4,4,3,2,3,4,4,4,3,3, ,1,1,1,1,3,5,37, , , ,1, , , , ,8.06666666666667,1.308403889179
20,in the last year?,2017-12-07 14:59:31,2017-12-07 15:10:42,7,2,64,1953,2,3,26,1,4,1,1,2,7,1,0,0,0,0,1,0,0,0,0,0,0,0,505,2,2,2,5,1, ,Would you call yourself a strong Republican or a not very strong Republican?, ,2,2,2,1,4,2,2,3,4,3,1,3,4,2,4,3,3,3,3,3,2,3,3,3,3,3,3, ,2,1,1,2,6,10,74, , , , , , ,2, ,11.1833333333333,.637957336247967
872,in the year since Donald Trump became President?,2017-12-07 15:00:17,2017-12-07 15:10:39,5,2,64,1953,3,5,45,2,5,1,1,2,6,1,1,1,1,0,1,0,0,0,0,0,0,0,546,2,1,1,4,1, ,Do you think of yourself as closer to the Democratic or the Republican Party?, ,2,2,2,2,3,4,3,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3, ,2,2,2,3,6,10,79, , , , , , ,7, ,10.3666666666667,.499066472366052
729,since the end of the Obama Administration?,2017-12-07 15:00:45,2017-12-07 15:10:53,6,2,59,1958,3,6,21,1,3,5,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,541,1,2,2,5,1, ,Would you call yourself a strong Republican or a not very strong Republican?, ,2,2,3,1,4,5,2,2,2,1,2,5,2,2,2,2,3,2,2,2,2,5,2,3,3,3,3, ,1,1,1,2,6,10,74, , , , , , ,2, ,10.1166666666667,.637957336247967
875,in the year since Donald Trump became President?,2017-12-07 14:56:53,2017-12-07 15:10:57,2,2,22,1995,1,2,42,1,5,5,4,2,3,1,1,1,0,0,1,1,1,1,0,0,0,0,508,2,4,6,2,1, ,Do you think of yourself as closer to the Democratic or the Republican Party?, ,2,2,2,3,5,3,3,1,4,1,1,1,3,4,3,4,3,1,3,1,2,2,3,3,3,4,1, ,1,1,1,3,4,6,51, , , , ,3, , , ,14.0666666666667,.392963593822225
28,in the year since Donald Trump became President?,2017-12-07 14:56:06,2017-12-07 15:09:43,5,1,69,1948,1,2,36,1,5,4,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,1,538,2,2,7,4,1, ,Would you call yourself a strong Republican or a not very strong Republican?, ,2,2,2,1,2,2,4,3,3,3,1,1,1,3,4,2,4,3,3,3,3,2,2,3,4,2,3, ,3,1,1,3,3,5,39, , , ,3, , , , ,13.6,2.03250525052097
47,in the year since Donald Trump became President?,2017-12-07 14:59:11,2017-12-07 15:10:46,5,2,65,1952,3,7,48,1,6,6,1,2,97,1,0,0,0,0,0,0,0,0,0,0,0,0,635,2,1,1,2,1, ,Do you think of yourself as closer to the Democratic or the Republican Party?, ,2,2,2,3,4,2,3,1,2,1,2,2,2,2,2,3,3,2,2,2,3,2,3,3,2,3,3, ,4,1,1,4,6,10,88, , , , , , , ,4,11.5666666666667,1.01122006081309
707,in the year since Donald Trump became President?,2017-12-07 15:04:40,2017-12-07 15:11:02,1,2,41,1976,3,5,12,1,6,5,1,2,8,1,0,0,0,0,0,0,1,1,0,0,0,0,539,2,4,7,2,1, ,Do you think of yourself as closer to the Democratic or the Republican Party?, ,3,3,3,3,5,5,3,4,4,4,2,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,2, ,2,1,1,4,5,8,64, , , , , ,4, , ,6.36666666666667,1.03752883394079
792,in the last year?,2017-12-07 14:56:33,2017-12-07 15:09:44,5,2,70,1947,3,5,12,1,4,4,1,2,6,1,0,0,0,0,1,0,0,0,0,0,0,0,534,1,1,7,3,1, ,Would you call yourself a strong Republican or a not very strong Republican?, ,2,2,3,2,4,2,2,1,2,2,1,2,2,2,2,2,3,3,3,3,2,3,3,3,3,3,3, ,2,1,1,2,6,10,86, , , , , , , ,2,13.1833333333333,1.31102854709163
192,in the year since Donald Trump became President?,2017-12-07 14:56:21,2017-12-07 15:11:17,5,2,86,1931,2,4,31,1,2,4,1,2,97,0,0,0,0,0,0,0,0,0,0,0,0,1,722,1,2,2,5,1, ,Would you call yourself a strong Republican or a not very strong Republican?, ,2,2,2,4,4,3,2,2,3,3,1,5,3,2,4,2,3,3,3,3,2,5,3,3,4,3,3, ,4,1,1,1,6,10,85, , , , , , , ,1,14.9333333333333,1.02026506034597
405,in the last year?,2017-12-07 14:56:44,2017-12-07 15:11:33,1,2,69,1948,3,5,37,1,3,4,1,2,4,1,1,0,0,0,1,0,1,1,0,0,0,0,517,1,1,4,2,1, ,Do you think of yourself as closer to the Democratic or the Republican Party?, ,2,2,2,3,4,4,2,2,2,2,2,2,2,2,3,4,2,2,3,2,3,2,4,3,3,3,3, ,1,1,1,2,6,10,86, , , , , , , ,2,14.8166666666667,.416815781331997
435,in the year since Donald Trump became President?,2017-12-07 15:04:07,2017-12-07 15:11:35,1,2,37,1980,3,5,11,1,3,1,4,2,6,1,1,0,0,0,0,1,1,0,0,0,0,0,511,2,1,1,1,1, ,Would you call yourself a strong Democrat or a not very strong Democrat?, ,2,2,2,3,4,3,3,2,2,2,2,2,3,3,2,4,3,2,3,2,2,2,3,3,2,3,2, ,2,1,1,2,5,8,62, , , , , ,2, , ,7.46666666666667,.539195955830258
70,in the year since Donald Trump became President?,2017-12-07 14:57:35,2017-12-07 15:11:55,1,1,51,1966,3,7,48,6,4,4,1,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,626,3,2,7,5,1, ,Do you think of yourself as closer to the Democratic or the Republican Party?, ,4,4,4,3,6,6,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,2, ,3,1,4,2,2,4,26, , ,2, , , , , ,14.3166666666667,1.67098061471905
578,in the last year?,2017-12-07 15:04:09,2017-12-07 15:11:59,5,1,62,1955,2,3,39,1,6,1,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,1,547,2,2,2,4,1, ,Do you think of yourself as closer to the Democratic or the Republican Party?, ,1,1,1,1,4,2,4,3,4,4,1,3,4,3,4,3,3,3,3,3,2,2,3,3,3,2,3, ,3,1,1,4,3,5,28, , ,4, , , , , ,7.81666666666667,.95272226331245
101,in the year since Donald Trump became President?,2017-12-07 15:05:52,2017-12-07 15:12:00,5,1,64,1953,4,8,49,1,6,1,1,2,9,1,1,1,1,0,0,0,1,0,0,0,0,0,770,2,1,1,3,1, ,Do you think of yourself as closer to the Democratic or the Republican Party?, ,2,2,2,3,4,2,4,1,2,2,2,1,3,3,2,4,4,2,2,2,3,2,3,3,2,4,3, ,3,1,1,4,3,5,28, , ,4, , , , , ,6.13333333333333,.853647759048423
